Marker Name,Description,In,Out,Duration,Marker Type
卡点 035,,00:00:28:11,00:00:28:11,00:00:00:00,Comment
卡点 036,,00:00:28:25,00:00:28:25,00:00:00:00,Comment
卡点 037,,00:00:29:20,00:00:29:20,00:00:00:00,Comment
卡点 038,,00:00:30:06,00:00:30:06,00:00:00:00,Comment
卡点 039,,00:00:30:20,00:00:30:20,00:00:00:00,Comment
卡点 040,,00:00:31:19,00:00:31:19,00:00:00:00,Comment
卡点 041,,00:00:32:17,00:00:32:17,00:00:00:00,Comment
卡点 042,,00:00:33:01,00:00:33:01,00:00:00:00,Comment
卡点 043,,00:00:33:14,00:00:33:14,00:00:00:00,Comment
卡点 044,,00:00:34:12,00:00:34:12,00:00:00:00,Comment
卡点 045,,00:00:35:09,00:00:35:09,00:00:00:00,Comment
卡点 046,,00:00:36:07,00:00:36:07,00:00:00:00,Comment
卡点 047,,00:00:36:20,00:00:36:20,00:00:00:00,Comment
卡点 048,,00:00:37:04,00:00:37:04,00:00:00:00,Comment
卡点 049,,00:00:38:14,00:00:38:14,00:00:00:00,Comment
卡点 050,,00:00:39:00,00:00:39:00,00:00:00:00,Comment
卡点 051,,00:00:39:27,00:00:39:27,00:00:00:00,Comment
卡点 052,,00:00:40:25,00:00:40:25,00:00:00:00,Comment
卡点 053,,00:00:41:22,00:00:41:22,00:00:00:00,Comment
卡点 054,,00:00:42:06,00:00:42:06,00:00:00:00,Comment
卡点 055,,00:00:42:20,00:00:42:20,00:00:00:00,Comment
卡点 056,,00:00:45:13,00:00:45:13,00:00:00:00,Comment
卡点 057,,00:00:48:18,00:00:48:18,00:00:00:00,Comment
卡点 058,,00:00:49:17,00:00:49:17,00:00:00:00,Comment
卡点 059,,00:00:50:02,00:00:50:02,00:00:00:00,Comment
卡点 060,,00:00:51:00,00:00:51:00,00:00:00:00,Comment
卡点 061,,00:00:51:27,00:00:51:27,00:00:00:00,Comment
卡点 062,,00:00:52:10,00:00:52:10,00:00:00:00,Comment
卡点 063,,00:00:52:25,00:00:52:25,00:00:00:00,Comment
卡点 064,,00:00:53:07,00:00:53:07,00:00:00:00,Comment
卡点 065,,00:00:53:23,00:00:53:23,00:00:00:00,Comment
卡点 066,,00:00:54:20,00:00:54:20,00:00:00:00,Comment
卡点 067,,00:00:55:18,00:00:55:18,00:00:00:00,Comment
卡点 068,,00:00:56:01,00:00:56:01,00:00:00:00,Comment
卡点 069,,00:00:56:29,00:00:56:29,00:00:00:00,Comment
卡点 070,,00:00:57:13,00:00:57:13,00:00:00:00,Comment
卡点 071,,00:00:59:22,00:00:59:22,00:00:00:00,Comment
卡点 072,,00:01:01:04,00:01:01:04,00:00:00:00,Comment
卡点 073,,00:01:03:00,00:01:03:00,00:00:00:00,Comment
卡点 074,,00:01:03:14,00:01:03:14,00:00:00:00,Comment
卡点 075,,00:01:03:19,00:01:03:19,00:00:00:00,Comment
卡点 076,,00:01:03:28,00:01:03:28,00:00:00:00,Comment
卡点 077,,00:01:04:12,00:01:04:12,00:00:00:00,Comment
卡点 078,,00:01:05:23,00:01:05:23,00:00:00:00,Comment
卡点 079,,00:01:06:20,00:01:06:20,00:00:00:00,Comment
卡点 080,,00:01:07:02,00:01:07:02,00:00:00:00,Comment
卡点 081,,00:01:08:14,00:01:08:14,00:00:00:00,Comment
卡点 082,,00:01:08:29,00:01:08:29,00:00:00:00,Comment
卡点 083,,00:01:09:19,00:01:09:19,00:00:00:00,Comment
卡点 084,,00:01:10:11,00:01:10:11,00:00:00:00,Comment
卡点 085,,00:01:11:09,00:01:11:09,00:00:00:00,Comment
卡点 086,,00:01:11:22,00:01:11:22,00:00:00:00,Comment
卡点 087,,00:01:12:06,00:01:12:06,00:00:00:00,Comment
卡点 088,,00:01:12:19,00:01:12:19,00:00:00:00,Comment
卡点 089,,00:01:14:01,00:01:14:01,00:00:00:00,Comment
